epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.591,4.06685,4.87997,2.89572,0,0,0,0,4.71051,4.41613,3.52641,8e-05,8e-05,8e-05
2,6.17832,3.99663,4.19304,2.874,0,0,0,0,4.39439,4.2392,3.08142,0.000177773,0.000177773,0.000177773
3,6.75038,3.62563,4.14483,2.65518,0.00067,0.01887,1e-05,0,4.36932,4.22071,2.92951,0.00027307,0.00027307,0.00027307
4,7.34102,3.82188,4.29729,2.38096,0.001,0.0283,4e-05,1e-05,4.77847,4.34978,2.66984,0.000365893,0.000365893,0.000365893
5,7.92068,3.58087,3.95181,2.18845,0.00033,0.00943,1e-05,0,4.56953,4.21077,2.16139,0.00045624,0.00045624,0.00045624
6,8.46815,3.50385,3.81671,2.10191,0,0,0,0,4.3858,4.12116,2.00836,0.000544113,0.000544113,0.000544113
7,9.04116,3.28925,3.78574,2.20352,0.00033,0.00943,0,0,4.45346,4.16847,2.29488,0.00062951,0.00062951,0.00062951
8,9.61359,3.35549,3.69911,2.03834,0,0,0,0,4.42066,4.15651,2.31422,0.000712432,0.000712432,0.000712432
9,10.21,3.35247,3.98286,1.9863,0,0,0,0,4.36622,4.13764,2.3227,0.00079288,0.00079288,0.00079288
10,10.8846,3.39413,3.59243,1.99355,0.00167,0.04717,0.00012,2e-05,4.13963,3.95435,1.90104,0.000870853,0.000870853,0.000870853
11,11.4597,3.27572,3.57241,1.91577,0.001,0.0283,4e-05,0,4.25245,4.00325,1.88994,0.00094635,0.00094635,0.00094635
12,12.0341,3.26112,3.57477,1.8684,0,0,0,0,4.13001,4.02367,1.9009,0.00101937,0.00101937,0.00101937
13,12.6069,3.13221,3.5876,1.95336,0.002,0.0566,0.00012,2e-05,4.08056,3.96571,1.895,0.00108992,0.00108992,0.00108992
14,13.1814,3.23626,3.64238,1.87728,0.002,0.0566,0.00012,2e-05,4.08056,3.96571,1.895,0.00115799,0.00115799,0.00115799
15,13.7668,3.24576,3.55416,1.96781,0.00133,0.03774,5e-05,1e-05,3.94326,3.96524,1.83016,0.00122359,0.00122359,0.00122359
16,14.3246,2.95017,3.58482,2.01028,0.00167,0.04717,8e-05,1e-05,3.87571,3.87863,1.77496,0.00128671,0.00128671,0.00128671
17,14.9032,3.26762,3.62245,2.06627,0.00133,0.03774,5e-05,1e-05,3.96929,4.03669,1.92708,0.00134736,0.00134736,0.00134736
18,15.4692,3.22167,3.49657,1.90502,0.00133,0.03774,5e-05,1e-05,3.96929,4.03669,1.92708,0.00140553,0.00140553,0.00140553
19,16.0361,3.27859,3.46182,1.88549,0.00033,0.00943,0,0,4.28312,4.37152,2.21054,0.00146123,0.00146123,0.00146123
20,16.6137,3.21788,3.42148,1.87241,0,0,0,0,4.28138,4.38854,2.08611,0.00151445,0.00151445,0.00151445
21,17.2435,3.19486,3.48274,1.91664,0,0,0,0,4.28138,4.38854,2.08611,0.001505,0.001505,0.001505
22,17.7973,3.13639,3.38287,1.89882,0.001,0.0283,3e-05,0,3.71641,4.09339,2.03145,0.00148025,0.00148025,0.00148025
23,18.3615,3.19873,3.35842,1.863,0.002,0.0566,0.00013,2e-05,3.88037,3.9389,2.35818,0.0014555,0.0014555,0.0014555
24,18.9148,3.33639,3.36812,2.02428,0.002,0.0566,0.00013,2e-05,3.88037,3.9389,2.35818,0.00143075,0.00143075,0.00143075
25,19.472,3.22946,3.35092,1.96116,0.001,0.0283,9e-05,1e-05,3.75384,3.8715,2.38958,0.001406,0.001406,0.001406
