epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29.1477,2.77502,1.92565,1.4513,0.29721,0.25773,0.17977,0.05343,2.90104,2.19945,1.7471,0.00098525,0.00098525,0.00098525
43,29.7125,2.72032,2.00022,1.57984,0.34045,0.34021,0.2484,0.06394,2.87941,2.16658,1.78596,0.0009605,0.0009605,0.0009605
44,30.2635,2.7552,1.99421,1.58174,0.49095,0.2268,0.23377,0.056,2.87089,2.11515,1.78501,0.00093575,0.00093575,0.00093575
45,30.7987,2.8433,1.90043,1.52135,0.49095,0.2268,0.23377,0.056,2.87089,2.11515,1.78501,0.000911,0.000911,0.000911
46,31.3498,2.79347,2.05023,1.58256,0.49737,0.24742,0.21924,0.05221,2.88679,2.12456,1.78504,0.00088625,0.00088625,0.00088625
47,31.9032,2.78589,1.92014,1.46066,0.45022,0.2268,0.2019,0.0467,2.94372,2.12554,1.7871,0.0008615,0.0008615,0.0008615
48,32.4333,2.72817,1.92974,1.49279,0.45022,0.2268,0.2019,0.0467,2.94372,2.12554,1.7871,0.00083675,0.00083675,0.00083675
49,32.9907,2.70757,1.86644,1.45577,0.51419,0.22918,0.2149,0.04611,3.05485,2.11117,1.89772,0.000812,0.000812,0.000812
50,33.5354,2.72073,1.9312,1.52115,0.51419,0.22918,0.2149,0.04611,3.05485,2.11117,1.89772,0.00078725,0.00078725,0.00078725
51,34.085,2.662,1.91406,1.48386,0.39965,0.19588,0.14969,0.03435,3.15692,2.15661,1.99816,0.0007625,0.0007625,0.0007625
52,34.6439,2.60051,1.84584,1.47197,0.37876,0.20619,0.1807,0.0426,3.07516,2.1781,1.94293,0.00073775,0.00073775,0.00073775
53,35.1817,2.60849,1.89746,1.49247,0.37876,0.20619,0.1807,0.0426,3.07516,2.1781,1.94293,0.000713,0.000713,0.000713
54,35.7309,2.62668,1.84494,1.48999,0.43448,0.24742,0.22324,0.04926,3.0232,2.10192,1.88442,0.00068825,0.00068825,0.00068825
55,36.278,2.63507,1.81428,1.49004,0.49109,0.27835,0.23504,0.0517,3.01778,2.06213,1.83825,0.0006635,0.0006635,0.0006635
56,36.8192,2.69626,1.99633,1.48927,0.49109,0.27835,0.23504,0.0517,3.01778,2.06213,1.83825,0.00063875,0.00063875,0.00063875
57,37.3744,2.50388,1.7645,1.43051,0.44295,0.27835,0.2176,0.04627,3.00896,2.02453,1.82035,0.000614,0.000614,0.000614
58,37.9146,2.52227,1.74248,1.4446,0.44295,0.27835,0.2176,0.04627,3.00896,2.02453,1.82035,0.00058925,0.00058925,0.00058925
