epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.13922,2.56276,3.33794,1.5908,0.00867,0.3741,0.00521,0.00094,3.00038,3.86825,1.76671,0.000638889,0.000638889,0.000638889
2,8.33025,2.47367,2.26299,1.40939,0.01217,0.52518,0.07609,0.01738,2.62976,3.3706,1.49318,0.0012894,0.0012894,0.0012894
3,9.50387,2.30568,2.00161,1.37477,0.01,0.43165,0.05989,0.01458,2.80597,3.24398,1.644,0.00192341,0.00192341,0.00192341
4,10.8196,2.34679,1.88081,1.40453,0.0379,0.08048,0.0162,0.00357,3.11079,3.33497,1.73602,0.00192575,0.00192575,0.00192575
5,12.0823,2.28725,1.86628,1.37818,0.10619,0.19424,0.05531,0.01615,2.51002,3.23626,1.51298,0.001901,0.001901,0.001901
6,13.4082,2.23162,1.77461,1.39733,0.3721,0.40929,0.2854,0.07822,2.49775,3.25643,1.51488,0.00187625,0.00187625,0.00187625
7,14.6168,2.1891,1.74017,1.35681,0.41698,0.35971,0.2865,0.10034,2.52964,2.39911,1.54556,0.0018515,0.0018515,0.0018515
8,15.9491,2.14107,1.6436,1.33611,0.46581,0.41007,0.30942,0.0935,2.47022,2.29474,1.50016,0.00182675,0.00182675,0.00182675
9,17.2408,2.08473,1.55767,1.29982,0.47109,0.27338,0.28155,0.08212,2.45334,3.12328,1.50016,0.001802,0.001802,0.001802
10,18.481,2.20529,1.66035,1.35602,0.42901,0.44604,0.33389,0.10201,2.4607,2.03014,1.48629,0.00177725,0.00177725,0.00177725
11,19.5973,2.11311,1.5618,1.31391,0.48589,0.41007,0.32294,0.10553,2.5166,1.99766,1.52515,0.0017525,0.0017525,0.0017525
12,20.724,2.1234,1.5672,1.31571,0.47515,0.41007,0.357,0.1206,2.52702,1.99842,1.49236,0.00172775,0.00172775,0.00172775
13,21.8143,2.06547,1.47722,1.28896,0.43423,0.50246,0.32175,0.10381,2.40239,2.78502,1.42555,0.001703,0.001703,0.001703
