epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05433,2.48126,3.0185,1.47389,0.0195,0.585,0.08478,0.02951,2.38092,3.28042,1.34279,0.000649573,0.000649573,0.000649573
2,10.0002,2.36901,2.02733,1.37759,0.77451,0.12023,0.27806,0.1043,2.34282,2.64309,1.38553,0.00129995,0.00129995,0.00129995
3,11.6819,2.33294,1.86538,1.37141,0.47164,0.37,0.36133,0.10037,2.35475,1.99887,1.43851,0.00193383,0.00193383,0.00193383
4,13.4769,2.33986,1.84032,1.36502,0.46094,0.45,0.41988,0.14895,2.36018,2.02475,1.48219,0.00192575,0.00192575,0.00192575
5,15.1637,2.28465,1.72091,1.35725,0.57242,0.465,0.4309,0.14525,2.32184,1.78016,1.43891,0.001901,0.001901,0.001901
6,17.058,2.23457,1.6807,1.33029,0.61081,0.55,0.49621,0.17296,2.3349,1.73339,1.44879,0.00187625,0.00187625,0.00187625
7,18.7812,2.29522,1.66269,1.36797,0.62998,0.54482,0.58014,0.22438,2.1417,1.49031,1.41716,0.0018515,0.0018515,0.0018515
8,20.6624,2.20685,1.63521,1.35857,0.41848,0.49,0.34342,0.1373,2.15147,1.9606,1.3612,0.00182675,0.00182675,0.00182675
9,22.49,2.21294,1.52604,1.31359,0.63362,0.605,0.582,0.20157,2.19182,1.60467,1.35288,0.001802,0.001802,0.001802
10,24.3096,2.25185,1.56913,1.31452,0.59162,0.385,0.3936,0.14388,2.43347,1.66968,1.54523,0.00177725,0.00177725,0.00177725
11,26.078,2.1633,1.5018,1.29322,0.60686,0.585,0.57947,0.23815,2.14374,1.43402,1.31558,0.0017525,0.0017525,0.0017525
12,28.0345,2.1755,1.46594,1.31311,0.67659,0.63,0.60332,0.23697,2.16766,1.41887,1.31426,0.00172775,0.00172775,0.00172775
13,29.8701,2.14605,1.47794,1.30476,0.67012,0.57896,0.60633,0.24759,2.0871,1.3575,1.30146,0.001703,0.001703,0.001703
14,31.6762,2.12533,1.44072,1.30543,0.69287,0.555,0.6247,0.26055,2.06364,1.36923,1.29637,0.00167825,0.00167825,0.00167825
15,33.438,2.14644,1.40356,1.30652,0.6088,0.6,0.59054,0.24624,2.19816,1.40923,1.34324,0.0016535,0.0016535,0.0016535
16,35.1954,2.13672,1.38397,1.27738,0.66209,0.59,0.59598,0.222,2.29069,1.35157,1.39177,0.00162875,0.00162875,0.00162875
17,36.8879,2.12616,1.37335,1.32866,0.64819,0.575,0.64441,0.25575,2.24143,1.34118,1.32931,0.001604,0.001604,0.001604
18,38.5313,2.07522,1.30828,1.24818,0.62921,0.61937,0.64032,0.25716,2.24225,1.35789,1.32724,0.00157925,0.00157925,0.00157925
19,40.3883,2.1516,1.37244,1.29136,0.62924,0.565,0.60352,0.25,2.15641,1.40703,1.30052,0.0015545,0.0015545,0.0015545
20,42.0537,2.06042,1.36092,1.28607,0.6306,0.57,0.58305,0.24352,2.15422,1.51485,1.31052,0.00152975,0.00152975,0.00152975
21,43.7326,2.0492,1.33891,1.26346,0.58068,0.62316,0.60232,0.2545,2.17497,1.32892,1.31771,0.001505,0.001505,0.001505
22,45.3834,2.06925,1.308,1.27498,0.6523,0.66,0.65865,0.27401,2.12369,1.39908,1.33057,0.00148025,0.00148025,0.00148025
23,47.2875,2.02096,1.30428,1.25919,0.66542,0.68,0.65491,0.26553,2.06972,1.34191,1.31645,0.0014555,0.0014555,0.0014555
24,49.1019,1.99544,1.27838,1.26522,0.65487,0.67,0.65289,0.26535,2.06533,1.31252,1.30662,0.00143075,0.00143075,0.00143075
25,50.9088,2.07913,1.31416,1.2531,0.65302,0.62,0.64114,0.27713,2.08597,1.26414,1.32743,0.001406,0.001406,0.001406
26,52.5858,2.02599,1.29397,1.267,0.65949,0.60039,0.60497,0.25911,2.09589,1.27371,1.32049,0.00138125,0.00138125,0.00138125
27,54.5295,2.02718,1.25035,1.23559,0.64559,0.62844,0.62231,0.26778,2.17816,1.2879,1.33985,0.0013565,0.0013565,0.0013565
28,56.1287,2.05741,1.28023,1.25052,0.68867,0.59,0.64974,0.26787,2.15283,1.25252,1.32697,0.00133175,0.00133175,0.00133175
29,57.9452,2.00512,1.28316,1.25764,0.65292,0.6,0.6106,0.26264,2.12078,1.34254,1.35417,0.001307,0.001307,0.001307
30,59.8432,2.05589,1.2701,1.24474,0.73892,0.56,0.62649,0.28112,2.07533,1.21489,1.29825,0.00128225,0.00128225,0.00128225
31,61.7405,1.982,1.23533,1.23168,0.64896,0.63779,0.6183,0.28325,2.1531,1.26785,1.33117,0.0012575,0.0012575,0.0012575
32,63.6671,1.98076,1.26086,1.22259,0.66174,0.63581,0.63058,0.27598,2.11077,1.22196,1.3283,0.00123275,0.00123275,0.00123275
33,65.3701,1.99295,1.21664,1.2291,0.65203,0.655,0.62725,0.26768,2.09191,1.21108,1.34623,0.001208,0.001208,0.001208
34,67.4464,1.989,1.20832,1.23423,0.65732,0.70972,0.66927,0.29881,2.09554,1.18189,1.33342,0.00118325,0.00118325,0.00118325
35,69.2371,1.98228,1.21025,1.25009,0.70148,0.63448,0.68028,0.2652,2.23046,1.24172,1.35516,0.0011585,0.0011585,0.0011585
36,70.9297,1.94601,1.21143,1.23297,0.65342,0.645,0.64979,0.29364,2.08118,1.21795,1.30941,0.00113375,0.00113375,0.00113375
37,72.7961,1.97171,1.19395,1.22467,0.69604,0.695,0.68477,0.31592,2.03787,1.14801,1.29397,0.001109,0.001109,0.001109
38,74.9684,1.95474,1.17705,1.20901,0.63481,0.7,0.64987,0.29007,2.05617,1.19269,1.30847,0.00108425,0.00108425,0.00108425
39,77.0133,1.92084,1.15347,1.22052,0.66364,0.65,0.63742,0.29013,2.09179,1.17382,1.3346,0.0010595,0.0010595,0.0010595
