epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73541,2.53487,4.91491,1.7826,0.00733,0.34375,0.00477,0.00114,2.59691,3.78526,1.66856,0.00022,0.00022,0.00022
2,10.796,2.4678,3.52786,1.56621,0.012,0.5625,0.02276,0.00825,2.49218,3.65392,1.46205,0.000454308,0.000454308,0.000454308
3,11.7939,2.5034,2.71638,1.45937,0.011,0.51562,0.01922,0.00867,2.3387,3.49284,1.46283,0.000682675,0.000682675,0.000682675
4,12.7677,2.44303,2.45239,1.54342,0.01167,0.54688,0.01116,0.00391,2.30126,3.36482,1.41794,0.000905103,0.000905103,0.000905103
5,13.7553,2.50362,2.20288,1.5016,0.01167,0.54688,0.04691,0.02558,2.16286,3.17531,1.37253,0.00112159,0.00112159,0.00112159
6,14.7097,2.32927,2.29005,1.49511,0.01267,0.59375,0.11432,0.05279,2.33917,3.10643,1.41945,0.00133214,0.00133214,0.00133214
7,15.6612,2.34995,2.28838,1.52468,0.65893,0.03125,0.09254,0.04107,2.22832,3.00642,1.38374,0.00153675,0.00153675,0.00153675
8,16.6247,2.30273,2.1628,1.41821,0.47188,0.15625,0.23574,0.09904,2.30732,2.75014,1.4334,0.00173541,0.00173541,0.00173541
9,17.6661,2.34013,2.21497,1.53386,0.39727,0.28125,0.24122,0.08276,2.3404,2.58366,1.61984,0.001802,0.001802,0.001802
10,18.6364,2.40735,2.07828,1.55433,0.23308,0.32812,0.18269,0.07164,2.35715,2.64178,1.66696,0.00177725,0.00177725,0.00177725
11,19.6144,2.26977,2.09173,1.51519,0.37251,0.39062,0.28687,0.10885,2.46237,2.70369,1.64515,0.0017525,0.0017525,0.0017525
12,20.5666,2.24965,2.02179,1.44851,0.49643,0.32355,0.29408,0.08234,2.82997,2.91226,1.81979,0.00172775,0.00172775,0.00172775
13,21.5254,2.22047,1.99932,1.43048,0.03722,0.375,0.02192,0.00684,2.43673,17.0707,1.55063,0.001703,0.001703,0.001703
14,22.4716,2.2736,2.1554,1.49372,0.02213,0.42188,0.01146,0.00341,2.52321,64.6091,1.59653,0.00167825,0.00167825,0.00167825
15,23.4313,2.31511,2.05891,1.53586,0.33936,0.29688,0.20035,0.07035,2.60318,2.94443,1.61903,0.0016535,0.0016535,0.0016535
16,24.3691,2.29285,1.91448,1.42763,0.41456,0.35938,0.2565,0.09202,2.37126,2.92046,1.50603,0.00162875,0.00162875,0.00162875
17,25.3201,2.32934,1.85325,1.42504,0.4592,0.37154,0.28214,0.09606,2.34342,2.65247,1.4838,0.001604,0.001604,0.001604
18,26.2618,2.27444,1.96721,1.44938,0.54056,0.34375,0.31329,0.11413,2.29464,2.44955,1.46136,0.00157925,0.00157925,0.00157925
19,27.2185,2.19285,1.8504,1.48828,0.44582,0.35938,0.30339,0.12938,2.22695,2.0963,1.43246,0.0015545,0.0015545,0.0015545
20,28.2264,2.34945,1.86979,1.48751,0.44901,0.34375,0.30268,0.13452,2.3146,1.99486,1.45593,0.00152975,0.00152975,0.00152975
21,29.1897,2.20581,1.93069,1.47088,0.62228,0.35938,0.38738,0.16364,2.11549,1.87849,1.35604,0.001505,0.001505,0.001505
22,30.1471,2.24902,1.83125,1.42596,0.63093,0.375,0.38636,0.15696,2.17906,1.87698,1.36792,0.00148025,0.00148025,0.00148025
23,31.1117,2.18517,1.81404,1.41191,0.45225,0.375,0.36546,0.14039,2.33098,1.87859,1.42907,0.0014555,0.0014555,0.0014555
24,32.0605,2.16927,1.76366,1.4033,0.48937,0.37437,0.38717,0.14561,2.26202,1.82629,1.43396,0.00143075,0.00143075,0.00143075
25,33.0156,2.09301,1.69579,1.40153,0.42967,0.42188,0.37622,0.15616,2.20483,1.79263,1.41837,0.001406,0.001406,0.001406
26,33.9427,2.22133,1.76393,1.41655,0.41772,0.35938,0.32722,0.14094,2.26384,2.04099,1.42367,0.00138125,0.00138125,0.00138125
27,34.8828,2.06488,1.71234,1.35455,0.52625,0.31242,0.32746,0.14972,2.12375,1.9361,1.35617,0.0013565,0.0013565,0.0013565
28,35.8002,2.15671,1.76929,1.3869,0.37607,0.37675,0.35168,0.17244,2.06147,1.902,1.34122,0.00133175,0.00133175,0.00133175
29,36.7478,2.15362,1.75307,1.37051,0.57162,0.40625,0.39499,0.18093,2.114,1.79618,1.33469,0.001307,0.001307,0.001307
30,37.7489,2.10945,1.72525,1.42383,0.54119,0.40625,0.39129,0.17794,2.07746,1.82444,1.35716,0.00128225,0.00128225,0.00128225
31,38.7067,2.08643,1.64809,1.40941,0.59595,0.3125,0.36865,0.16593,2.17787,1.79587,1.40015,0.0012575,0.0012575,0.0012575
32,39.6461,2.17807,1.6268,1.40636,0.4321,0.36862,0.35961,0.13126,2.40331,1.79546,1.44154,0.00123275,0.00123275,0.00123275
33,40.6001,2.12997,1.67151,1.3425,0.59861,0.32812,0.39603,0.16754,2.17164,1.68697,1.39246,0.001208,0.001208,0.001208
34,41.5319,2.16315,1.67487,1.43998,0.6585,0.35938,0.42623,0.18911,2.10894,1.62139,1.37309,0.00118325,0.00118325,0.00118325
35,42.4687,2.13022,1.64854,1.4081,0.56026,0.48438,0.42209,0.17243,2.17596,1.59165,1.38869,0.0011585,0.0011585,0.0011585
36,43.4062,2.00937,1.51037,1.38494,0.53464,0.4309,0.42177,0.16811,2.12359,1.64105,1.37498,0.00113375,0.00113375,0.00113375
37,44.355,2.01651,1.50164,1.39827,0.46568,0.46875,0.37477,0.14742,2.11189,1.76529,1.38642,0.001109,0.001109,0.001109
38,45.2909,2.17412,1.55676,1.38236,0.49768,0.40255,0.38351,0.1462,2.11133,1.72967,1.37066,0.00108425,0.00108425,0.00108425
39,46.3028,1.97486,1.46009,1.33436,0.63082,0.40625,0.44536,0.1982,2.09084,1.5962,1.33832,0.0010595,0.0010595,0.0010595
40,47.2353,1.96528,1.56047,1.35292,0.49447,0.375,0.39533,0.18939,2.061,1.6011,1.32982,0.00103475,0.00103475,0.00103475
41,48.1761,1.90202,1.48188,1.31324,0.462,0.40625,0.39113,0.172,2.00292,1.72422,1.33391,0.00101,0.00101,0.00101
42,49.0942,2.04995,1.53449,1.3468,0.4047,0.39062,0.37046,0.16448,2.03784,1.79075,1.34726,0.00098525,0.00098525,0.00098525
43,50.0445,1.95543,1.44986,1.29166,0.48451,0.34375,0.37117,0.15315,2.07479,1.74464,1.36484,0.0009605,0.0009605,0.0009605
44,50.9777,2.14913,3.1335,1.49144,0.44835,0.35938,0.35505,0.14983,2.1493,1.71681,1.40009,0.00093575,0.00093575,0.00093575
45,51.927,1.84646,1.45624,1.29072,0.51513,0.36528,0.34536,0.14017,2.2191,1.73651,1.43521,0.000911,0.000911,0.000911
46,52.8696,1.99812,1.43315,1.33376,0.54605,0.41358,0.38529,0.13876,2.21721,1.77091,1.42316,0.00088625,0.00088625,0.00088625
47,53.8287,1.99518,1.4893,1.33192,0.547,0.375,0.34357,0.12803,2.27977,1.88653,1.42709,0.0008615,0.0008615,0.0008615
48,54.8293,1.97135,1.42093,1.32804,0.45418,0.36411,0.32206,0.12565,2.25926,1.89692,1.44958,0.00083675,0.00083675,0.00083675
49,55.7932,1.97266,1.4079,1.32239,0.60677,0.36171,0.36916,0.14059,2.25291,1.82231,1.4675,0.000812,0.000812,0.000812
50,56.7319,1.70721,1.30167,1.24831,0.55116,0.45312,0.39992,0.15337,2.22789,1.7798,1.43598,0.00078725,0.00078725,0.00078725
51,57.6766,1.85348,1.40355,1.31331,0.61944,0.40625,0.3739,0.15366,2.27447,1.6912,1.42266,0.0007625,0.0007625,0.0007625
52,58.6125,1.88949,1.4041,1.28437,0.52896,0.375,0.35726,0.1515,2.25815,1.67211,1.42346,0.00073775,0.00073775,0.00073775
53,59.5585,1.96476,1.43281,1.33797,0.49836,0.35938,0.3619,0.15046,2.21403,1.7725,1.42279,0.000713,0.000713,0.000713
54,60.5069,1.84699,1.35336,1.28982,0.53206,0.39062,0.35879,0.15748,2.21143,1.8131,1.41447,0.00068825,0.00068825,0.00068825
