epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03389,2.48667,3.358,1.57456,0.01033,0.48819,0.00734,0.00151,2.29046,3.94738,1.48553,0.000638889,0.000638889,0.000638889
2,7.93367,2.41844,2.32607,1.40777,0.00983,0.46457,0.1144,0.03207,2.27913,3.46606,1.43924,0.0012894,0.0012894,0.0012894
3,8.75849,2.30761,2.00473,1.37454,0.40556,0.06299,0.05147,0.01737,2.34706,3.37145,1.56688,0.00192341,0.00192341,0.00192341
4,9.61645,2.31482,1.92729,1.40622,0.33312,0.11024,0.10197,0.0263,2.15166,3.02307,1.38984,0.00192575,0.00192575,0.00192575
5,10.4525,2.29192,1.90674,1.41777,0.34749,0.27258,0.19272,0.06169,2.141,2.6725,1.40461,0.001901,0.001901,0.001901
6,11.3518,2.22977,1.81145,1.38932,0.37636,0.3622,0.25198,0.08334,2.17665,2.77885,1.43219,0.00187625,0.00187625,0.00187625
7,12.3722,2.09746,1.73254,1.32444,0.37275,0.35433,0.25883,0.07231,2.344,2.78042,1.47975,0.0018515,0.0018515,0.0018515
8,13.3068,2.08875,1.67092,1.33023,0.45167,0.37795,0.31886,0.10339,2.088,3.108,1.38034,0.00182675,0.00182675,0.00182675
9,14.2462,2.02037,1.58881,1.27185,0.35228,0.41732,0.25563,0.08124,2.10609,3.42704,1.35165,0.001802,0.001802,0.001802
10,15.1448,2.19615,1.69347,1.36429,0.42716,0.37579,0.28175,0.09929,2.04953,2.43709,1.36562,0.00177725,0.00177725,0.00177725
11,16.0324,2.08204,1.60629,1.31535,0.45425,0.38583,0.32751,0.11042,2.15651,2.67001,1.41953,0.0017525,0.0017525,0.0017525
12,16.9567,2.06499,1.60583,1.30129,0.42593,0.41732,0.34622,0.11564,2.20781,3.18339,1.44733,0.00172775,0.00172775,0.00172775
13,17.9152,1.9869,1.53867,1.27235,0.39076,0.33858,0.21534,0.06537,2.40361,2.59031,1.56777,0.001703,0.001703,0.001703
14,18.8321,2.08587,1.56254,1.28536,0.41627,0.38583,0.24603,0.0723,2.46437,2.25198,1.6234,0.00167825,0.00167825,0.00167825
15,19.6889,2.10419,1.53936,1.30978,0.52982,0.41732,0.37423,0.12447,2.26762,1.96736,1.4782,0.0016535,0.0016535,0.0016535
16,20.5409,2.06139,1.4918,1.29192,0.47256,0.38583,0.32565,0.10579,2.30844,2.14647,1.48559,0.00162875,0.00162875,0.00162875
