epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.1719,2.10949,1.33948,1.30706,0.62069,0.47432,0.48048,0.17758,2.3113,1.48283,1.41457,0.00098525,0.00098525,0.00098525
43,64.4725,2.0459,1.31812,1.23507,0.66968,0.48551,0.48789,0.17197,2.29379,1.45592,1.39309,0.0009605,0.0009605,0.0009605
44,65.7422,2.10674,1.32945,1.29175,0.61466,0.49705,0.52817,0.19554,2.27156,1.40675,1.40302,0.00093575,0.00093575,0.00093575
45,67.016,2.1323,1.31088,1.28604,0.67218,0.49275,0.52425,0.18824,2.31932,1.42062,1.42109,0.000911,0.000911,0.000911
46,68.256,2.07911,1.31636,1.3021,0.71255,0.47101,0.51813,0.18865,2.29891,1.41308,1.4157,0.00088625,0.00088625,0.00088625
47,69.6003,2.06253,1.27476,1.27973,0.62177,0.49275,0.48724,0.1848,2.32463,1.41671,1.41845,0.0008615,0.0008615,0.0008615
48,70.8617,2.09464,1.24241,1.2418,0.63273,0.46192,0.49888,0.18074,2.39361,1.43861,1.44561,0.00083675,0.00083675,0.00083675
49,72.1067,2.04739,1.23914,1.20763,0.65916,0.44203,0.4785,0.1775,2.31876,1.44715,1.41437,0.000812,0.000812,0.000812
50,73.3639,2.05903,1.23386,1.26821,0.59998,0.46737,0.45147,0.16998,2.34073,1.45679,1.42635,0.00078725,0.00078725,0.00078725
51,74.663,2.03134,1.23225,1.24035,0.60487,0.48551,0.50227,0.18046,2.3032,1.44478,1.3943,0.0007625,0.0007625,0.0007625
52,75.9452,2.12857,1.2648,1.26039,0.56871,0.46823,0.45632,0.17652,2.28541,1.41319,1.4124,0.00073775,0.00073775,0.00073775
53,77.1986,2.0967,1.2613,1.24495,0.54922,0.47676,0.45529,0.17429,2.31487,1.43405,1.41822,0.000713,0.000713,0.000713
54,78.4483,2.04553,1.2499,1.24223,0.65453,0.47826,0.46566,0.17172,2.34274,1.44279,1.42194,0.00068825,0.00068825,0.00068825
55,79.6953,2.09867,1.26457,1.26148,0.68496,0.45652,0.48678,0.18391,2.32416,1.43936,1.42405,0.0006635,0.0006635,0.0006635
56,80.9521,2.07487,1.20189,1.21306,0.7271,0.44203,0.46611,0.17094,2.32332,1.44314,1.4194,0.00063875,0.00063875,0.00063875
57,82.2683,1.98096,1.23544,1.23192,0.67902,0.4058,0.43894,0.15078,2.36743,1.43447,1.44414,0.000614,0.000614,0.000614
58,83.551,2.00688,1.24985,1.24666,0.65465,0.4058,0.43367,0.15608,2.34057,1.46614,1.42215,0.00058925,0.00058925,0.00058925
59,84.8661,2.02616,1.23648,1.22985,0.58597,0.43478,0.45214,0.16631,2.29671,1.43091,1.40931,0.0005645,0.0005645,0.0005645
